2018-12-28 13:40:29,262 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/sys-img/google_apis_playstore/sys-img2-1.xml 
2018-12-28 13:40:29,506 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/sys-img/google_apis_playstore/sys-img2-1.xml 
2018-12-28 13:40:29,561 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/addon2-1.xml 
2018-12-28 13:40:29,845 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/addon2-1.xml 
2018-12-28 13:40:30,491 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/glass/addon2-1.xml 
2018-12-28 13:40:30,515 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/glass/addon2-1.xml 
2018-12-28 13:40:30,750 [d thread 5]   INFO - s.RepoProgressIndicatorAdapter - Downloading https://dl.google.com/android/repository/extras/intel/addon2-1.xml 
2018-12-28 13:40:30,775 [d thread 4]   INFO - dea.updater.SdkComponentSource - Downloading https://dl.google.com/android/repository/extras/intel/addon2-1.xml 
2018-12-28 13:40:31,512 [d thread 4]   INFO - dea.updater.SdkComponentSource - File /home/john/.android/repositories.cfg could not be loaded. 
2018-12-28 13:40:36,055 [e-1136-b06]   INFO - j.ide.ui.OptionsTopHitProvider - 2970 ms spent to cache options in application 
2018-12-28 13:40:36,056 [e-1136-b06]   INFO - rtup.GradleSpecificInitializer - Found Studio home directory at: '/opt/android-studio' 
2018-12-28 13:40:36,056 [e-1136-b06]   INFO - rtup.GradleSpecificInitializer - Looking for Android SDK at '/opt/android-studio/sdk' 
2018-12-28 13:40:36,058 [e-1136-b06]   INFO - rtup.GradleSpecificInitializer - Looking for Android SDK at '/opt/sdk' 
2018-12-28 13:40:36,058 [e-1136-b06]   INFO - rtup.GradleSpecificInitializer - Unable to locate SDK within the Android studio installation. 
2018-12-28 13:40:36,058 [e-1136-b06]   INFO - rtup.GradleSpecificInitializer - Checking if ANDROID_HOME is set: 'ANDROID_HOME' is 'null' 
2018-12-28 13:40:36,058 [e-1136-b06]   INFO - rtup.GradleSpecificInitializer - Unable to locate last SDK used by Android tools 
2018-12-28 13:40:36,058 [e-1136-b06]   INFO - .startup.AndroidSdkInitializer - Found Studio home directory at: '/opt/android-studio' 
2018-12-28 13:40:36,058 [e-1136-b06]   INFO - .startup.AndroidSdkInitializer - Looking for Android SDK at '/opt/android-studio/sdk' 
2018-12-28 13:40:36,059 [e-1136-b06]   INFO - .startup.AndroidSdkInitializer - Looking for Android SDK at '/opt/sdk' 
2018-12-28 13:40:36,059 [e-1136-b06]   INFO - .startup.AndroidSdkInitializer - Unable to locate SDK within the Android studio installation. 
2018-12-28 13:40:36,075 [e-1136-b06]   INFO - .startup.AndroidSdkInitializer - Checking if ANDROID_HOME is set: 'ANDROID_HOME' is 'null' 
2018-12-28 13:40:36,075 [e-1136-b06]   INFO - .startup.AndroidSdkInitializer - Unable to locate last SDK used by Android tools 
2018-12-28 13:40:36,195 [d thread 1]   INFO - .openapi.application.Preloader - Finished preloading com.intellij.ide.ui.search.SearchableOptionPreloader@556af336 
